candidate_id,rank,score,technical_domain_fit,career_evidence_fit,production_experience_fit,behavioral_fit,experience_alignment,logistics_fit,honeypot_risk,matched_evidence,concerns,reasoning,manual_label,manual_notes
CAND_0039754,1,0.7796,0.9048,1,0.3636,0.8715,0.5,1,0,Senior Applied Scientist at Meta; Senior ML Engineer — Search & Ranking at Apple; Senior Applied Scientist at Observe.AI,,"16.2 years of experience as a Senior Applied Scientist with evidence of Senior Applied Scientist at Meta, Senior ML Engineer — Search & Ranking at Apple. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Indore, Madhya Pradesh.",MAYBE,production exp less
CAND_0077337,2,0.7465,0.7143,1,0.4545,0.8467,1,0.5,0,Staff Machine Learning Engineer at Paytm; Senior NLP Engineer at Razorpay; Senior NLP Engineer at Glance,,"7.0 years of experience as a Staff Machine Learning Engineer with evidence of Staff Machine Learning Engineer at Paytm, Senior NLP Engineer at Razorpay. Recently open to work, which improves shortlist usefulness.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0018549,3,0.7389,0.6667,1,0.3636,0.7747,0.9333,0.9,0,Recommendation Systems Engineer at Uber; Machine Learning Engineer at Flipkart,,"6.8 years of experience as a Recommendation Systems Engineer with evidence of Recommendation Systems Engineer at Uber, Machine Learning Engineer at Flipkart. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Coimbatore, Tamil Nadu.",MAYBE,production exp less
CAND_0079387,4,0.7284,0.619,1,0.3636,0.895,0.9667,0.7,0,AI Engineer at Microsoft; NLP Engineer at upGrad; Applied ML Engineer at Ola,,"6.9 years of experience as a AI Engineer with evidence of AI Engineer at Microsoft, NLP Engineer at upGrad. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Trivandrum, Kerala.",MAYBE,production exp less
CAND_0018499,5,0.7147,0.7619,0.94,0.2727,0.8559,0.9333,0.6,0,Senior Machine Learning Engineer at Zomato; Staff Machine Learning Engineer at Google; Senior Machine Learning Engineer at Flipkart,,"7.2 years of experience as a Senior Machine Learning Engineer with evidence of Senior Machine Learning Engineer at Zomato, Staff Machine Learning Engineer at Google. Recently open to work, which improves shortlist usefulness.",MAYBE,production exp less
CAND_0010257,6,0.7138,0.5714,1,0.4545,0.8445,0.8333,0.7,0,Senior Data Scientist at Google; Search Engineer at PharmEasy; Senior Data Scientist at Google,,"6.5 years of experience as a Senior Data Scientist with evidence of Senior Data Scientist at Google, Search Engineer at PharmEasy. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Noida, Uttar Pradesh.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0046064,7,0.7077,0.8095,1,0.3636,0.8393,0.3667,0.7,0,Senior NLP Engineer at Salesforce; Lead AI Engineer at Verloop.io; Senior ML Engineer — Search & Ranking at Amazon,,"8.9 years of experience as a Senior NLP Engineer with evidence of Senior NLP Engineer at Salesforce, Lead AI Engineer at Verloop.io. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Coimbatore, Tamil Nadu.",MAYBE,production exp less
CAND_0091909,8,0.7028,0.5238,1,0.3636,0.7499,0.9667,0.9,0,Machine Learning Engineer at Rephrase.ai; NLP Engineer at Meta,,"6.9 years of experience as a Machine Learning Engineer with evidence of Machine Learning Engineer at Rephrase.ai, NLP Engineer at Meta. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Bangalore, Karnataka.",MAYBE,production exp less
CAND_0055992,9,0.7019,0.6667,1,0.3636,0.8169,0.5,0.9,0,AI Engineer at CRED; Senior Data Scientist at Aganitha; AI Engineer at Observe.AI,,"16.9 years of experience as a AI Engineer with evidence of AI Engineer at CRED, Senior Data Scientist at Aganitha. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Sydney.",MAYBE,production exp less
CAND_0011687,10,0.6974,0.6667,0.94,0.3636,0.8445,0.7333,0.7,0,Senior NLP Engineer at Niramai; Senior Machine Learning Engineer at Krutrim,,"7.8 years of experience as a Senior NLP Engineer with evidence of Senior NLP Engineer at Niramai, Senior Machine Learning Engineer at Krutrim. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Indore, Madhya Pradesh.",MAYBE,production exp less
CAND_0033861,11,0.6818,0.7619,1,0.6364,0.449,0.6667,0.3,0,Senior NLP Engineer at Mad Street Den; Senior NLP Engineer at Sarvam AI; Senior AI Engineer at Paytm,,"8.0 years of experience as a Senior NLP Engineer with evidence of Senior NLP Engineer at Mad Street Den, Senior NLP Engineer at Sarvam AI.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0026532,12,0.6815,0.5714,1,0.2727,0.7205,0.96,0.8,0,Recommendation Systems Engineer at Zomato; Recommendation Systems Engineer at Mad Street Den,,"4.8 years of experience as a Recommendation Systems Engineer with evidence of Recommendation Systems Engineer at Zomato, Recommendation Systems Engineer at Mad Street Den. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Chennai, Tamil Nadu.",MAYBE,production exp less
CAND_0080766,13,0.6806,0.5238,0.94,0.6364,0.629,0.4,1,0,Staff Machine Learning Engineer at Aganitha; Lead AI Engineer at Swiggy; Senior Machine Learning Engineer at Haptik,,"8.8 years of experience as a Staff Machine Learning Engineer with evidence of Staff Machine Learning Engineer at Aganitha, Lead AI Engineer at Swiggy. Work-mode preference is compatible with the role's hybrid setup from Coimbatore, Tamil Nadu.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0006557,14,0.6803,0.6667,1,0.3636,0.6729,0.7,0.7,0,NLP Engineer at Paytm; Recommendation Systems Engineer at Apple,,"7.9 years of experience as a NLP Engineer with evidence of NLP Engineer at Paytm, Recommendation Systems Engineer at Apple. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Jaipur, Rajasthan.",MAYBE,production exp less
CAND_0055905,15,0.6775,0.7143,1,0.4545,0.7649,0.6333,0.3,0,Senior Machine Learning Engineer at Flipkart; Senior AI Engineer at Uber; Senior Applied Scientist at Rephrase.ai,,"8.1 years of experience as a Senior Machine Learning Engineer with evidence of Senior Machine Learning Engineer at Flipkart, Senior AI Engineer at Uber. Recently open to work, which improves shortlist usefulness.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0044855,16,0.6772,0.619,1,0.2727,0.6079,0.8667,0.9,0,Senior Data Scientist at Flipkart; Recommendation Systems Engineer at LinkedIn; Machine Learning Engineer at Verloop.io,,"6.6 years of experience as a Senior Data Scientist with evidence of Senior Data Scientist at Flipkart, Recommendation Systems Engineer at LinkedIn. Work-mode preference is compatible with the role's hybrid setup from Coimbatore, Tamil Nadu.",MAYBE,production exp less
CAND_0071974,17,0.6766,0.5714,1,0.5455,0.8756,0.7333,0.2,0,Senior AI Engineer at Netflix; Staff Machine Learning Engineer at Meta; Staff Machine Learning Engineer at Mad Street Den,,"7.8 years of experience as a Senior AI Engineer with evidence of Senior AI Engineer at Netflix, Staff Machine Learning Engineer at Meta. Recently open to work, which improves shortlist usefulness.",GOOD,Strong retrieval/search evidence and good production signals.
CAND_0028793,18,0.6712,0.5238,1,0.2727,0.8159,0.9333,0.7,0,Search Engineer at Google; Senior Data Scientist at Amazon; Machine Learning Engineer at Meesho,,"7.2 years of experience as a Search Engineer with evidence of Search Engineer at Google, Senior Data Scientist at Amazon. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Trivandrum, Kerala.",MAYBE,production exp less
CAND_0017960,19,0.6697,0.5238,1,0.2727,0.7839,0.7667,0.9,0,Recommendation Systems Engineer at Nykaa; NLP Engineer at Wysa; Search Engineer at Sarvam AI,,"7.7 years of experience as a Recommendation Systems Engineer with evidence of Recommendation Systems Engineer at Nykaa, NLP Engineer at Wysa. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Bangalore, Karnataka.",MAYBE,production exp less
CAND_0005649,20,0.6684,0.619,1,0.3636,0.762,0.8667,0.4,0,Senior Data Scientist at Sarvam AI; Recommendation Systems Engineer at Aganitha; Senior Data Scientist at Amazon,,"7.4 years of experience as a Senior Data Scientist with evidence of Senior Data Scientist at Sarvam AI, Recommendation Systems Engineer at Aganitha. Recently open to work, which improves shortlist usefulness.",,
CAND_0068811,21,0.6656,0.5714,1,0.4545,0.7009,0.6667,0.6,0,Applied ML Engineer at Freshworks; AI Engineer at Yellow.ai; Recommendation Systems Engineer at Meesho,,"8.0 years of experience as a Applied ML Engineer with evidence of Applied ML Engineer at Freshworks, AI Engineer at Yellow.ai. Recently open to work, which improves shortlist usefulness.",,
CAND_0044883,22,0.6608,0.5714,1,0.3636,0.5907,0.7667,0.8,0,AI Engineer at Mad Street Den; Search Engineer at Adobe; Recommendation Systems Engineer at Meesho,,"6.3 years of experience as a AI Engineer with evidence of AI Engineer at Mad Street Den, Search Engineer at Adobe. Work-mode preference is compatible with the role's hybrid setup from Berlin.",,
CAND_0060054,23,0.6607,0.4762,1,0.3636,0.5931,0.8,1,0,AI Engineer at Mad Street Den; Recommendation Systems Engineer at Zomato; AI Engineer at Uber,,"6.4 years of experience as a AI Engineer with evidence of AI Engineer at Mad Street Den, Recommendation Systems Engineer at Zomato. Work-mode preference is compatible with the role's hybrid setup from Jaipur, Rajasthan.",,
CAND_0098846,24,0.6574,0.4286,1,0.2727,0.8381,0.8,0.9,0,AI Engineer at upGrad; Machine Learning Engineer at Meesho; Search Engineer at Swiggy,,"7.6 years of experience as a AI Engineer with evidence of AI Engineer at upGrad, Machine Learning Engineer at Meesho. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Indore, Madhya Pradesh.",,
CAND_0030953,25,0.6533,0.6667,1,0.3636,0.5374,0.7333,0.6,0,Search Engineer at Nykaa; NLP Engineer at Niramai; Applied ML Engineer at Vedantu,,"7.8 years of experience as a Search Engineer with evidence of Search Engineer at Nykaa, NLP Engineer at Niramai. Work-mode preference is compatible with the role's hybrid setup from Chennai, Tamil Nadu.",,
CAND_0049896,26,0.65,0.5238,0.94,0.2727,0.7099,0.9,0.8,0,Search Engineer at Unacademy; Applied ML Engineer at Flipkart,,"7.3 years of experience as a Search Engineer with evidence of Search Engineer at Unacademy, Applied ML Engineer at Flipkart. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Vizag, Andhra Pradesh.",,
CAND_0061265,27,0.6496,0.5714,1,0.2727,0.8369,0.8667,0.4,0,Recommendation Systems Engineer at Zoho; Senior Data Scientist at Observe.AI; Senior Data Scientist at Paytm,,"6.6 years of experience as a Recommendation Systems Engineer with evidence of Recommendation Systems Engineer at Zoho, Senior Data Scientist at Observe.AI. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Delhi, Delhi.",,
CAND_0007411,28,0.6482,0.619,0.94,0.3636,0.44,0.6667,1,0,Senior Machine Learning Engineer at Amazon; Senior Machine Learning Engineer at Yellow.ai,,"8.0 years of experience as a Senior Machine Learning Engineer with evidence of Senior Machine Learning Engineer at Amazon, Senior Machine Learning Engineer at Yellow.ai. Work-mode preference is compatible with the role's hybrid setup from Kochi, Kerala.",,
CAND_0011432,29,0.6478,0.5238,1,0.2727,0.8151,0.8,0.6,0,Senior Data Scientist at Amazon; Machine Learning Engineer at Krutrim; NLP Engineer at Nykaa,,"7.6 years of experience as a Senior Data Scientist with evidence of Senior Data Scientist at Amazon, Machine Learning Engineer at Krutrim. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Chennai, Tamil Nadu.",,
CAND_0014440,30,0.6471,0.5238,1,0.2727,0.8104,0.8,0.6,0,Recommendation Systems Engineer at CRED; NLP Engineer at Freshworks; NLP Engineer at upGrad,,"6.4 years of experience as a Recommendation Systems Engineer with evidence of Recommendation Systems Engineer at CRED, NLP Engineer at Freshworks. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Chennai, Tamil Nadu.",,
CAND_0046525,31,0.6469,0.6667,1,0.1818,0.826,0.7,0.5,0,Senior Machine Learning Engineer at Genpact AI; Senior Machine Learning Engineer at LinkedIn,,"6.1 years of experience as a Senior Machine Learning Engineer with evidence of Senior Machine Learning Engineer at Genpact AI, Senior Machine Learning Engineer at LinkedIn. Recently open to work, which improves shortlist usefulness.",,
CAND_0044222,32,0.6455,0.6667,0.94,0.1818,0.7851,0.7667,0.6,0,AI Engineer at PolicyBazaar; AI Engineer at InMobi,,"7.7 years of experience as a AI Engineer with evidence of AI Engineer at PolicyBazaar, AI Engineer at InMobi. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Vizag, Andhra Pradesh.",,
CAND_0065878,33,0.6436,0.4762,1,0.3636,0.7236,0.7333,0.7,0,Senior Data Scientist at Niramai; NLP Engineer at Uber; Recommendation Systems Engineer at Glance,,"7.8 years of experience as a Senior Data Scientist with evidence of Senior Data Scientist at Niramai, NLP Engineer at Uber. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Trivandrum, Kerala.",,
CAND_0037566,34,0.6435,0.4762,0.94,0.0909,0.8109,0.9667,1,0,Machine Learning Engineer at LinkedIn; Machine Learning Engineer at Paytm,,"6.9 years of experience as a Machine Learning Engineer with evidence of Machine Learning Engineer at LinkedIn, Machine Learning Engineer at Paytm. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Bangalore, Karnataka.",,
CAND_0092278,35,0.6414,0.7143,0.94,0.3636,0.3918,0.9333,0.5,0,Senior NLP Engineer at Microsoft; Senior NLP Engineer at Paytm; Senior NLP Engineer at Saarthi.ai,,"6.8 years of experience as a Senior NLP Engineer with evidence of Senior NLP Engineer at Microsoft, Senior NLP Engineer at Paytm. Work-mode preference is compatible with the role's hybrid setup from Pune, Maharashtra.",,
CAND_0047721,36,0.6396,0.4762,0.94,0.3636,0.5323,1,0.8,0,Senior Data Scientist at Microsoft; NLP Engineer at Observe.AI,,"7.0 years of experience as a Senior Data Scientist with evidence of Senior Data Scientist at Microsoft, NLP Engineer at Observe.AI. Work-mode preference is compatible with the role's hybrid setup from Coimbatore, Tamil Nadu.",,
CAND_0070398,37,0.6371,0.5714,0.94,0.1818,0.7102,0.9333,0.7,0,Machine Learning Engineer at Genpact AI; Applied ML Engineer at Uber; Machine Learning Engineer at Mad Street Den,,"7.2 years of experience as a Machine Learning Engineer with evidence of Machine Learning Engineer at Genpact AI, Applied ML Engineer at Uber. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Kochi, Kerala.",,
CAND_0075249,38,0.6353,0.5714,0.94,0.2727,0.7771,0.7333,0.6,0,Applied ML Engineer at Zomato; Search Engineer at upGrad,,"6.2 years of experience as a Applied ML Engineer with evidence of Applied ML Engineer at Zomato, Search Engineer at upGrad. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Ahmedabad, Gujarat.",,
CAND_0008425,39,0.6311,0.5714,1,0.4545,0.7601,0.7333,0.1,0,Senior NLP Engineer at Ola; Senior ML Engineer — Search & Ranking at Zomato; Lead AI Engineer at Amazon,,"7.8 years of experience as a Senior NLP Engineer with evidence of Senior NLP Engineer at Ola, Senior ML Engineer — Search & Ranking at Zomato. Recently open to work, which improves shortlist usefulness.",,
CAND_0083879,40,0.628,0.381,0.94,0.3636,0.7027,0.9667,0.7,0,Machine Learning Engineer at Ola; Search Engineer at PhonePe; Senior Data Scientist at Swiggy,,"7.1 years of experience as a Machine Learning Engineer with evidence of Machine Learning Engineer at Ola, Search Engineer at PhonePe. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Noida, Uttar Pradesh.",,
CAND_0033179,41,0.6263,0.4286,0.82,0.1818,0.8139,0.9667,1,0,AI Research Engineer at Wipro; Senior Software Engineer (ML) at CRED,,"6.9 years of experience as a AI Research Engineer with evidence of AI Research Engineer at Wipro, Senior Software Engineer (ML) at CRED. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Ahmedabad, Gujarat.",,
CAND_0041669,42,0.6262,0.5714,1,0.3636,0.8265,0.6667,0.2,0,Recommendation Systems Engineer at CRED; Search Engineer at Mad Street Den; NLP Engineer at Yellow.ai,,"8.0 years of experience as a Recommendation Systems Engineer with evidence of Recommendation Systems Engineer at CRED, Search Engineer at Mad Street Den. Recently open to work, which improves shortlist usefulness.",,
CAND_0050454,43,0.6256,0.5238,0.94,0.1818,0.7794,0.9333,0.6,0,AI Engineer at Rephrase.ai; Machine Learning Engineer at Uber; Machine Learning Engineer at Adobe,,"6.8 years of experience as a AI Engineer with evidence of AI Engineer at Rephrase.ai, Machine Learning Engineer at Uber. Recently open to work, which improves shortlist usefulness.",,
CAND_0052682,44,0.6256,0.5238,0.94,0.2727,0.903,0.8667,0.3,0,NLP Engineer at Aganitha; NLP Engineer at Salesforce,,"6.6 years of experience as a NLP Engineer with evidence of NLP Engineer at Aganitha, NLP Engineer at Salesforce. Recently open to work, which improves shortlist usefulness.",,
CAND_0081846,45,0.624,0.7619,1,0.3636,0.8788,0.9,0.6,0.25,Lead AI Engineer at Razorpay; Senior Machine Learning Engineer at Paytm,skill duration looks too high for total experience,"6.7 years of experience as a Lead AI Engineer with evidence of Lead AI Engineer at Razorpay, Senior Machine Learning Engineer at Paytm. Recently open to work, which improves shortlist usefulness. Some caution remains: skill duration looks too high for total experience.",,
CAND_0043228,46,0.6237,0.4762,1,0.2727,0.5784,0.9333,0.7,0,Applied ML Engineer at Zoho; Applied ML Engineer at Vedantu; Search Engineer at Yellow.ai,,"6.8 years of experience as a Applied ML Engineer with evidence of Applied ML Engineer at Zoho, Applied ML Engineer at Vedantu. Work-mode preference is compatible with the role's hybrid setup from Chennai, Tamil Nadu.",,
CAND_0088025,47,0.6224,0.5714,1,0.2727,0.8554,0.4667,0.5,0,Staff Machine Learning Engineer at Yellow.ai; Staff Machine Learning Engineer at Niramai; Senior Machine Learning Engineer at Genpact AI,,"8.6 years of experience as a Staff Machine Learning Engineer with evidence of Staff Machine Learning Engineer at Yellow.ai, Staff Machine Learning Engineer at Niramai. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Jaipur, Rajasthan.",,
CAND_0083307,48,0.6217,0.619,1,0.1818,0.7816,0.7333,0.4,0,Search Engineer at CRED; Machine Learning Engineer at Netflix; Machine Learning Engineer at Ola,,"7.8 years of experience as a Search Engineer with evidence of Search Engineer at CRED, Machine Learning Engineer at Netflix. Recently open to work, which improves shortlist usefulness. Work-mode preference is compatible with the role's hybrid setup from Vizag, Andhra Pradesh.",,
